date,pm2_5,pm10,co,no,no2,nh3,o3,so2,Station
2022-03-21,213.78166666666667,277.95125,2184.3525,18.0075,47.44583333333333,27.227500000000003,107.38625,63.90625,Delhi
2022-03-22,124.96125,158.68333333333334,1106.7795833333332,1.25375,29.379166666666663,21.86,120.46125,39.407916666666665,Delhi
2022-03-23,289.5466666666667,374.2558333333333,4124.48375,46.309583333333336,86.70958333333334,45.90833333333333,65.5125,85.55250000000001,Delhi
2022-03-24,120.96166666666666,193.5225,1788.12,10.370833333333334,52.07083333333333,26.93208333333333,59.855,46.47166666666666,Delhi
2022-03-25,144.1525,198.44833333333332,1898.4083333333333,21.265,38.91125,27.381666666666664,89.21916666666668,45.24916666666667,Delhi
2022-03-26,94.36666666666667,124.34916666666668,949.6216666666668,1.6133333333333333,24.15833333333333,20.8,112.16,28.410416666666663,Delhi
2022-03-27,137.65875,202.31833333333336,1997.71,12.1175,51.06666666666666,32.43083333333333,69.94250000000001,55.153333333333336,Delhi
2022-03-28,236.86916666666664,337.2020833333333,3555.3775,32.45375,88.46666666666665,50.73875,82.89458333333333,97.6425,Delhi
2022-03-29,229.92,342.17833333333334,3621.161666666667,44.97416666666666,68.35583333333334,43.65708333333333,65.66375000000001,84.88708333333334,Delhi
2022-03-30,428.49166666666673,572.8220833333334,6277.680833333333,70.175,119.505,64.29666666666667,84.04833333333333,143.48833333333334,Delhi
2022-03-31,380.5295833333333,489.8495833333333,3715.5945833333335,12.8225,90.83708333333334,38.42,147.175,98.88416666666666,Delhi
2022-04-01,93.828,132.3524,1390.6864,2.932,44.3324,24.882,104.226,48.9344,Delhi
2022-04-02,141.44541666666666,182.8083333333333,2064.745,8.560833333333333,53.89124999999999,27.51625,122.85416666666669,55.99875,Delhi
2022-04-03,181.9195833333333,253.42208333333332,2723.415,11.88625,68.19541666666667,38.594166666666666,105.87625,73.42291666666667,Delhi
2022-04-04,108.56958333333334,153.46583333333334,1619.9758333333332,4.378333333333333,49.11000000000001,27.1,99.7125,57.81583333333333,Delhi
2022-04-05,165.67208333333335,220.65,2364.317916666667,17.246666666666666,57.63916666666666,31.949583333333333,114.43416666666668,68.2175,Delhi
2022-04-06,137.39833333333334,183.2904166666667,2052.7833333333333,14.576666666666666,53.20125,30.489166666666662,110.70166666666668,59.51500000000001,Delhi
2022-04-07,122.04041666666669,166.255,1918.9916666666668,7.74625,54.67208333333334,28.01083333333333,97.555,57.31916666666667,Delhi
2022-04-08,123.42541666666666,180.63,2141.6541666666667,16.084166666666665,60.55458333333333,27.43208333333333,100.72583333333334,64.22541666666667,Delhi
2022-04-09,112.23458333333332,166.72916666666666,1850.7045833333332,8.039583333333333,51.27708333333334,25.03833333333333,93.81416666666668,53.38541666666666,Delhi
2022-04-10,82.21333333333332,119.41875,1219.7104166666666,3.067916666666666,33.905,22.76833333333333,108.73958333333331,40.16291666666667,Delhi
2022-04-11,109.13666666666668,163.41916666666663,1908.9779166666667,5.952916666666667,60.037083333333335,28.896666666666665,84.95833333333333,58.27375,Delhi
2022-04-12,126.10916666666668,184.22875,2555.4100000000003,17.917083333333334,77.91333333333334,33.02333333333333,56.84583333333333,69.15083333333332,Delhi
2022-04-13,239.85833333333332,356.1645833333334,4190.961666666667,54.724583333333335,78.42708333333333,41.23416666666667,65.67333333333333,110.88041666666668,Delhi
2022-04-14,209.84291666666664,294.55791666666664,3248.01625,32.59166666666666,68.58458333333333,36.76833333333334,80.45541666666666,82.34416666666667,Delhi
2022-04-15,122.41625,167.86541666666668,1524.5670833333334,2.585,47.42458333333334,24.07875,116.72541666666666,58.751666666666665,Delhi
2022-04-16,121.78916666666667,162.90625,1767.9525,10.612916666666669,54.67166666666666,24.633750000000003,118.75833333333334,74.76416666666667,Delhi
2022-04-17,166.72541666666666,229.7675,2820.214166666666,20.484166666666667,68.69083333333333,31.854166666666668,93.7875,85.115,Delhi
2022-04-18,190.26416666666668,240.27875,2662.7775,22.051666666666662,66.31125,31.15375,138.08666666666667,111.69875,Delhi
2022-04-19,90.93208333333332,162.09083333333334,1273.255,2.5029166666666667,41.88333333333333,21.287916666666668,87.87541666666665,47.59333333333333,Delhi
2022-04-20,99.44916666666668,165.20375,1443.0691666666664,5.197916666666667,42.66958333333333,24.440416666666668,75.73583333333333,50.470416666666665,Delhi
2022-04-21,147.275,267.78000000000003,2280.7329166666664,19.61458333333333,59.435,30.770416666666662,39.84375,67.76083333333334,Delhi
2022-04-22,104.14833333333333,172.985,1351.2770833333334,7.868749999999999,39.709583333333335,20.98875,112.74833333333332,58.821666666666665,Delhi
